image_path,table_id,seat_start_time,seat_end_time,selected_people,camera_total,people_diff,person_id,gender,estimated_age_range,age_category,confidence
dataset/photo_1752805809.jpg,3,2025-07-18_11-30-23,,1,1,0,1,male,20-30,young_adult,high
dataset/photo_1752805877.jpg,1,2025-07-18_11-31-59,2025-07-18_11-37-09,1,1,0,1,male,20-30,young_adult,high
dataset/photo_1752806139.jpg,1,2025-07-18_11-37-14,,1,1,0,1,unknown,unavailable,unknown,low
dataset/photo_1752806238.jpg,1,2025-07-18_11-39-58,2025-07-18_11-40-38,1,1,0,1,male,60+,senior,high
dataset/photo_1752806238.jpg,28,2025-07-18_11-40-21,,3,1,2,1,male,40-59,middle_aged,high
dataset/photo_1752806238.jpg,24,2025-07-18_11-45-39,,4,1,3,1,male,60-70,senior,high
dataset/photo_1752806883.jpg,6,2025-07-18_11-48-27,,1,1,0,1,male,60+,senior,high
dataset/photo_1752806925.jpg,28,2025-07-18_11-49-16,,3,3,0,1,male,20-39,young_adult,high
dataset/photo_1752806925.jpg,28,2025-07-18_11-49-16,,3,3,0,2,male,20-39,young_adult,high
dataset/photo_1752806925.jpg,28,2025-07-18_11-49-16,,3,3,0,3,male,20-39,young_adult,high
dataset/photo_1752806980.jpg,19,2025-07-18_11-50-16,,4,3,1,1,male,60-75,senior,high
dataset/photo_1752806980.jpg,19,2025-07-18_11-50-16,,4,3,1,2,male,60-70,senior,medium
dataset/photo_1752806980.jpg,19,2025-07-18_11-50-16,,4,3,1,3,female,40-50,middle_aged,medium
dataset/photo_1752806980.jpg,11,2025-07-18_11-53-04,,1,3,-2,1,male,60-70,senior,high
dataset/photo_1752806980.jpg,11,2025-07-18_11-53-04,,1,3,-2,2,male,40-50,middle_aged,high
dataset/photo_1752806980.jpg,11,2025-07-18_11-53-04,,1,3,-2,3,female,40-50,middle_aged,medium
dataset/photo_1752806980.jpg,25,2025-07-18_11-54-42,,2,3,-1,1,male,60-80,senior,high
dataset/photo_1752806980.jpg,25,2025-07-18_11-54-42,,2,3,-1,2,male,60-80,senior,high
dataset/photo_1752806980.jpg,25,2025-07-18_11-54-42,,2,3,-1,3,female,40-50,middle_aged,medium
dataset/photo_1752806980.jpg,1,2025-07-18_11-57-20,,1,3,-2,1,male,60-70,senior,high
dataset/photo_1752806980.jpg,1,2025-07-18_11-57-20,,1,3,-2,2,male,40-50,middle_aged,medium
dataset/photo_1752806980.jpg,1,2025-07-18_11-57-20,,1,3,-2,3,female,40-50,middle_aged,medium
dataset/photo_1752807469.jpg,26,2025-07-18_11-58-14,,2,2,0,1,male,20-39,young_adult,high
dataset/photo_1752807469.jpg,26,2025-07-18_11-58-14,,2,2,0,2,male,40-59,middle_aged,high
dataset/photo_1752807469.jpg,2,2025-07-18_12-00-43,,2,2,0,1,male,20-39,young_adult,high
